symbol,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,netIncome,grossMargin,operatingMargin,netMargin
NVDA,2017-04-30,1937000000,1150000000,554000000,507000000,0.5937016004130098,0.28600929272070214,0.26174496644295303
NVDA,2017-01-31,2173000000,1303000000,733000000,654000000,0.5996318453750575,0.3373216751035435,0.300966405890474
NVDA,2016-10-31,2004000000,1183000000,639000000,542000000,0.5903193612774451,0.3188622754491018,0.27045908183632733
NVDA,2016-07-31,1428000000,826000000,317000000,261000000,0.5784313725490197,0.22198879551820727,0.18277310924369747
NVDA,2016-04-30,1305000000,751000000,245000000,208000000,0.5754789272030651,0.18773946360153257,0.15938697318007664
NVDA,2016-01-31,1401000000,791000000,252000000,208000000,0.5645967166309779,0.17987152034261242,0.14846538187009278
NVDA,2015-10-31,1305000000,734000000,245000000,246000000,0.5624521072796935,0.18773946360153257,0.18850574712643678
NVDA,2015-07-31,1153000000,634000000,76000000,26000000,0.5498699045967043,0.06591500433651344,0.022549869904596703
NVDA,2015-04-30,1151000000,653000000,176000000,134000000,0.5673327541268463,0.1529105125977411,0.11642050390964379
NVDA,2015-01-31,1250514000,699603000,231136000,193128000,0.5594523531923673,0.18483279675397477,0.15443889472648847
NVDA,2014-10-31,1225000000,676000000,213000000,173000000,0.5518367346938775,0.17387755102040817,0.14122448979591837
NVDA,2014-07-31,1103000000,619000000,163000000,128000000,0.5611967361740707,0.14777878513145964,0.11604714415231188
NVDA,2014-04-30,1103000000,604000000,151000000,137000000,0.5475974614687217,0.13689936536718042,0.1242067089755213
NVDA,2014-01-31,1144218000,619242000,166924000,146917000,0.541192325238722,0.14588478768905924,0.12839948331524237
NVDA,2013-10-31,1053967000,584415000,140988000,118734000,0.5544907952526028,0.13376889409250953,0.11265438101951959
NVDA,2013-07-31,977238000,545538000,105534000,96448000,0.5582447673954554,0.10799211655707207,0.09869448384119324
NVDA,2013-04-30,954739000,518568000,82781000,77891000,0.5431515838360013,0.08670537183460611,0.08158355320145087
NVDA,2013-01-31,1106902000,585602000,183573000,173973000,0.5290459317988404,0.16584395005158542,0.1571710955441403
NVDA,2012-10-31,1204110000,636658000,252217000,209080000,0.52873740771192,0.209463421116011,0.1736386210562158
